resultado_id;medalla;deportista_id;juego_id;evento_id
86475;NA;43847;19;215
86476;NA;43847;19;216
86477;NA;43847;19;217
86478;NA;43847;19;218
86479;NA;43847;21;213
86480;Silver;43847;21;214
86481;Gold;43847;21;276
86482;NA;43847;21;215
86483;NA;43847;21;216
86484;NA;43847;21;217
86485;NA;43847;21;218
86486;NA;43848;24;39
86487;NA;43849;36;39
86488;Gold;43849;36;270
86489;NA;43849;36;40
86490;NA;43849;38;270
86491;Silver;43850;27;43
86492;Gold;43850;29;43
86493;NA;43851;41;300
86494;NA;43852;47;291
86495;NA;43853;5;19
86496;Silver;43853;6;43
86497;Bronze;43853;7;43
86498;NA;43854;34;63
86499;NA;43854;34;10
86500;NA;43855;14;206
86501;NA;43856;51;390
86502;NA;43857;51;390
86503;NA;43858;49;164
86504;NA;43859;41;192
86505;NA;43860;51;348
86506;NA;43861;27;148
86507;NA;43861;27;67
86508;NA;43862;27;96
86509;Silver;43863;39;422
86510;NA;43863;41;422
86511;NA;43864;37;347
86512;Gold;43865;43;422
86513;NA;43865;49;422
86514;NA;43866;29;104
86515;NA;43866;29;148
86516;NA;43867;45;135
86517;NA;43867;45;331
86518;NA;43868;47;408
86519;NA;43868;47;409
86520;NA;43868;49;408
86521;NA;43868;49;409
86522;Silver;43869;33;70
86523;Silver;43870;33;137
86524;NA;43871;39;438
86525;NA;43871;41;438
86526;Bronze;43872;26;226
86527;Gold;43872;26;227
86528;NA;43873;11;297
86529;NA;43874;6;229
86530;NA;43875;17;48
86531;NA;43875;19;48
86532;NA;43876;38;14
86533;NA;43877;47;536
86534;NA;43878;31;154
86535;NA;43878;31;441
86536;NA;43879;7;3
86537;NA;43880;18;14
86538;NA;43881;9;255
86539;NA;43882;22;206
86540;NA;43883;31;189
86541;Silver;43884;5;71
86542;NA;43885;17;92
86543;NA;43886;24;14
86544;NA;43886;26;14
86545;Silver;43887;43;450
86546;NA;43888;25;208
86547;NA;43889;37;147
86548;NA;43889;37;64
86549;NA;43890;9;518
86550;NA;43891;9;689
86551;NA;43892;41;230
86552;NA;43893;30;59
86553;NA;43893;30;60
86554;NA;43894;19;1
86555;NA;43895;45;415
86556;NA;43895;45;314
86557;NA;43895;47;314
86558;NA;43896;21;62
86559;NA;43896;21;403
86560;Bronze;43897;29;88
86561;Silver;43897;31;88
86562;NA;43898;51;408
86563;NA;43898;51;409
86564;NA;43898;51;315
86565;NA;43899;47;104
86566;NA;43899;47;148
86567;NA;43900;29;102
86568;NA;43901;23;172
86569;NA;43902;21;204
86570;NA;43902;23;152
86571;Gold;43903;23;168
86572;Silver;43903;25;168
86573;NA;43904;31;80
86574;NA;43905;5;690
86575;NA;43905;5;699
86576;NA;43906;27;114
86577;Gold;43906;29;114
86578;Silver;43907;3;718
86579;Bronze;43908;46;303
86580;NA;43909;7;570
86581;Bronze;43909;7;424
86582;NA;43910;29;44
86583;Gold;43911;5;92
86584;NA;43912;51;107
86585;NA;43913;42;34
86586;NA;43914;17;79
86587;NA;43914;19;79
86588;Silver;43914;21;208
86589;NA;43914;21;98
